key,kind,flag,english,urdu_draft,urdu_final_(edit_here),polish_draft,polish_final_(edit_here),notes
app.title,html_text,keep-verbatim,CheckIT — SCANSMART,CheckIT — SCANSMART,,CheckIT — SCANSMART,,<title> tag; em dash
splash.hero.alt,html_attr,,"The CheckIT Crew — KiP, SaK, and Dr RooT",CheckIT کریو — KiP، SaK، اور Dr RooT,,"Ekipa CheckIT — KiP, SaK i Dr RooT",,img alt
splash.brandmark,html_text,keep-verbatim,SCANSMART,SCANSMART,,SCANSMART,,
splash.wordmark,html_text,,"<span class=""checkit-check"">Check</span><span class=""checkit-it"">IT</span>","<span class=""checkit-check"">Check</span><span class=""checkit-it"">IT</span>",,"<span class=""checkit-check"">Check</span><span class=""checkit-it"">IT</span>",,split across two spans: 'Check' (italic) + 'IT'
splash.tagline,html_text,,For people who want to know what's really in their food.,ان لوگوں کے لیے جو جاننا چاہتے ہیں کہ ان کے کھانے میں اصل میں کیا ہے۔,,"Dla osób, które chcą wiedzieć, co naprawdę jest w ich jedzeniu.",,
splash.crew.intro,html_text,,"Hi, we are the <span class=""checkit-em"">Check</span>IT Crew — KiP, SaK, and Dr RooT. We read what's behind the barcode for you.","ہیلو، ہم <span class=""checkit-em"">Check</span>IT کریو ہیں — KiP، SaK، اور Dr RooT۔ ہم آپ کے لیے بارکوڈ کے پیچھے جو کچھ ہے وہ پڑھتے ہیں۔",,"Cześć, jesteśmy ekipą <span class=""checkit-em"">Check</span>IT — KiP, SaK i Dr RooT. Odczytujemy za Ciebie to, co kryje się za kodem kreskowym.",,contains <span class=checkit-em>Check</span> markup on 'Check'
splash.cta.start,html_text,,Let's go,چلیں,,Zaczynamy,,button
splash.disclaimer,html_text,,Food literacy tool. Not medical advice.,کھانے کی سمجھ بوجھ کا آلہ۔ طبی مشورہ نہیں۔,,Narzędzie do nauki o żywności. Nie stanowi porady medycznej.,,
lang.char.name,html_text,keep-verbatim,KiP,KiP,,KiP,,character name label
lang.prompt,html_text,,Which language works best for you?,آپ کے لیے کون سی زبان سب سے بہتر ہے؟,,Który język będzie dla Ciebie najlepszy?,,KiP speech bubble
lang.option.en,html_text,keep-verbatim,English,English,,English,,"button label, also acts as English option"
lang.option.ur,html_text,keep-verbatim,اردو (Urdu),اردو (Urdu),,اردو (Urdu),,button label; Urdu native + romanised
lang.cta.continue,html_text,,Continue,جاری رکھیں,,Dalej,,button
profile.heading,html_text,,What are you checking?,آپ کیا چیک کر رہے ہیں؟,,Co sprawdzasz?,,
profile.card.sugar,html_text,,Sugar,چینی,,Cukier,,profile card label
profile.card.salt,html_text,,Salt,نمک,,Sól,,
profile.card.caffeine,html_text,,Caffeine,کیفین,,Kofeina,,
profile.card.general,html_text,,General,عمومی,,Ogólne,,
profile.cta.confirm,html_text,,That's me,یہ میں ہوں,,To ja,,"button, initially disabled"
profile.haptic.label,html_text,,📳 Haptic feedback,📳 ہیپٹک فیڈ بیک,,📳 Wibracje dotykowe,,"toggle row label, leading emoji"
onboard.sak.kipsays,html_text,,KiP says...,KiP کہتا ہے...,,KiP mówi...,,label above bubble
onboard.sak.intro,html_text,,Meet <strong>SaK</strong>. Scan and Know. Point your camera at any barcode and SaK will tell you what's really inside.,ملیں <strong>SaK</strong> سے۔ اسکین اینڈ نو (اسکین کریں اور جانیں)۔ اپنا کیمرہ کسی بھی بارکوڈ پر تانیں اور SaK آپ کو بتائے گا کہ اندر اصل میں کیا ہے۔,,"Poznaj <strong>SaK</strong>. Scan and Know. Skieruj aparat na dowolny kod kreskowy, a SaK powie Ci, co naprawdę jest w środku.",,contains <strong>SaK</strong> markup
onboard.sak.name,html_text,,SaK - Scan and Know,SaK - اسکین اینڈ نو,,SaK - Scan and Know,,character name
